# Year, Total, Men, Women, Gender ratio, Growth rate (%)
1960	25012374	12550691	12461683	100.7	0.00
1961	25765673	12936583	12829090	100.8	2.97
1962	26513030	13320983	13192047	101.0	2.86
1963	27261747	13708120	13553627	101.1	2.79
1964	27984155	14081950	13902205	101.3	2.62
1965	28704674	14452831	14251843	101.4	2.54
1966	29435571	14829861	14605710	101.5	2.51
1967	30130983	15205393	14925590	101.9	2.34
1968	30838302	15576098	15262204	102.1	2.32
1969	31544266	15940965	15603301	102.2	2.26
1970	32240827	16308607	15932220	102.4	2.18
1971	32882704	16648884	16233820	102.6	1.97
1972	33505406	16955438	16549968	102.4	1.88
1973	34103149	17234877	16868272	102.2	1.77
1974	34692266	17514223	17178043	102.0	1.71
1975	35280725	17765828	17514897	101.4	1.68
1976	35848523	18058503	17790020	101.5	1.60
1977	36411795	18349416	18062379	101.6	1.56
1978	36969185	18637254	18331931	101.7	1.52
1979	37534236	18929361	18604875	101.7	1.52
1980	38123775	19235736	18888039	101.8	1.56
1981	38723248	19535680	19187568	101.8	1.56
1982	39326352	19837392	19488960	101.8	1.55
1983	39910403	20129120	19781283	101.8	1.47
1984	40405956	20375175	20030781	101.7	1.23
1985	40805744	20575600	20230144	101.7	0.99
1986	41213674	20771997	20441677	101.6	1.00
1987	41621690	20959980	20661710	101.4	0.99
1988	42031247	21155226	20876021	101.3	0.98
1989	42449038	21357389	21091649	101.3	0.99
1990	42869283	21568181	21301102	101.3	0.99
1991	43295704	21783914	21511790	101.3	0.99
1992	43747962	22013655	21734307	101.3	1.04
1993	44194628	22242554	21952074	101.3	1.02
1994	44641540	22472496	22169044	101.4	1.01
1995	45092991	22705329	22387662	101.4	1.01
1996	45524681	22924512	22600169	101.4	0.95
1997	45953580	23148092	22805488	101.5	0.94
1998	46286503	23295727	22990776	101.3	0.72
1999	46616677	23457837	23158840	101.3	0.71
2000	47008111	23666769	23341342	101.4	0.84
2001	47370164	23854971	23515193	101.4	0.77
2002	47644736	23991377	23653359	101.4	0.58
2003	47892330	24120872	23771458	101.5	0.52
2004	48082519	24210740	23871779	101.4	0.40
2005	48184561	24243234	23941327	101.3	0.21
2006	48438292	24369561	24068731	101.2	0.53
2007	48683638	24491190	24192448	101.2	0.51
2008	49054708	24671648	24383060	101.2	0.76
2009	49307835	24774341	24533494	101.0	0.52
2010	49554112	24881114	24672998	100.8	0.50
2011	49936638	25069867	24866771	100.8	0.77
2012	50199853	25187380	25012473	100.7	0.53
2013	50428893	25285319	25143574	100.6	0.46
2014	50746659	25445077	25301582	100.6	0.63
2015	51014947	25585894	25429053	100.6	0.53
2016	51245707	25693983	25551724	100.6	0.45
2017	51446201	25790240	25655961	100.5	0.39
